,api,msg
count,7.0,7.0
mean,0.014385731142933114,0.01996819871419575
std,0.006965670910766753,0.006873492618449342
min,0.006133722999948077,0.012758501999996952
25%,0.010682621500109235,0.01679321899973729
50%,0.012695780000285595,0.016867569999703846
75%,0.016300064000006387,0.023361239499990916
max,0.027905244000066887,0.029842402000213042
